"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Mar 17 17:49:48 MSK 2024","Sun Mar 17 17:49:52 MSK 2024","4157","test.group","test_group_add","","","","test_add_group_with_description_from_json_check_ui[None,namexSCbsURZR,headeru4I8jX9V,footer]",""
"passed","Sun Mar 17 17:49:30 MSK 2024","Sun Mar 17 17:49:36 MSK 2024","6224","test.group","test_group_add","","","","test_add_group_with_description_from_data_check_ui[None,name1,header1,footer1]",""
"passed","Sun Mar 17 17:48:41 MSK 2024","Sun Mar 17 17:48:44 MSK 2024","2835","test.contact","test_contact_add","","","","test_add_contact_bot_but_json_db_w_db_comparison[None,namevq\u0440hy\u0438,lastnameyru.r\u044ehx7,i8,None,None]",""
"passed","Sun Mar 17 17:50:19 MSK 2024","Sun Mar 17 17:50:26 MSK 2024","7004","test.group","test_group_update","","","","test_update_first_group_ui_with_ui_comparison",""
"passed","Sun Mar 17 17:48:47 MSK 2024","Sun Mar 17 17:48:49 MSK 2024","2831","test.contact","test_contact_add","","","","test_add_contact_bot_but_json_db_w_db_comparison[None,name24,lastnameR\u0446,s8H69bi,None,None]",""
"passed","Sun Mar 17 17:48:38 MSK 2024","Sun Mar 17 17:48:41 MSK 2024","2826","test.contact","test_contact_add","","","","test_add_contact_bot_but_json_db_w_db_comparison[None,name,lastname\u0435lY-2q,g0,None,None]",""
"passed","Sun Mar 17 17:47:48 MSK 2024","Sun Mar 17 17:47:52 MSK 2024","3298","test.contact","test_contact_add","","","","test_add_contact_bot_but_json_ui_w_ui_comparison[None,name\u043diF\u0430RI,lastnameUx,n,None,None]",""
"passed","Sun Mar 17 17:49:28 MSK 2024","Sun Mar 17 17:49:30 MSK 2024","1577","test.contact","test_contact_update","","","","test_update_contact_by_random_id_in_db",""
"passed","Sun Mar 17 17:47:55 MSK 2024","Sun Mar 17 17:47:59 MSK 2024","3514","test.contact","test_contact_add","","","","test_add_contact_bot_but_json_ui_w_ui_comparison[None,name3M,lastnamewA87J,GCzD,None,None]",""
"passed","Sun Mar 17 17:48:32 MSK 2024","Sun Mar 17 17:48:35 MSK 2024","2792","test.contact","test_contact_add","","","","test_add_contact_bot_but_json_db_w_db_comparison[None,name3M,lastnamewA87J,GCzD,None,None]",""
